stop,rstnam,line,nptref,smsref,gmgrfe,gmgrfn,mainrd,sidest,nettyp,gazref,netwrf,lifts,ramps,cycle_prov,cycle_lockers,stands,car_parking,total_spaces,bb_spaces
Clayton,Clayton Hall,East Manchester,9400ZZMACLN,MANTPWPD,388009,398467,ASHTON NEW ROAD,NA,M,E0028720,EBR627,No,Yes,Yes,5,5,No,0,0
Droylsden,Droylsden,East Manchester,9400ZZMADRO,MANTWADJ,390496,398089,ASHTON ROAD,NA,M,E0028353,EHR636,No,Yes,No,0,0,No,0,0
Edge Lane,Edge Lane,East Manchester,9400ZZMAELN,MANTPWPM,389132,398249,MANCHESTER RD,NA,M,E0028353,EHR630,No,Yes,Yes,5,5,No,0,0
Etihad Camous,Etihad Campus,East Manchester,9400ZZMAECS,MANTPWMG,386737,398757,JOE MERCER WAY,NA,M,N0075154,EBR621,Yes,Yes,No,0,0,No,0,0
Holt Town,Holt Town,East Manchester,9400ZZMAHTN,MANTPWJW,386016,398519,HOLT TOWN,NA,M,E0028845,EBR618,No,Yes,No,0,0,No,0,0
New Islington,New Islington,East Manchester,9400ZZMANIS,MANTPWJM,385512,398283,POLLARD STREET,NA,M,N0080417,EBR615,No,Yes,Yes,0,5,No,0,0
Velopark,Velopark,East Manchester,9400ZZMAVPK,MANTPWMT,387288,398411,ASHTON NEW ROAD,NA,M,N0075154,EBR624,No,Yes,Yes,3,5,No,0,0
Anchorage,Anchorage,Eccles,9400ZZMAANC,MANTMTMP,381113,397545,ANCHORAGE QUAY,NONE,M,N0075140,NFR482,No,Yes,No,0,0,No,0,0
Broadway,Broadway,Eccles,9400ZZMABWY,MANTMTPJ,380520,397606,BROADWAY,S LANGWORTHY RD,M,N0074915,NFR484,No,No,Yes,0,10,No,0,0
Eccles,Eccles,Eccles,9400ZZMAECC,MANTMTWA,377899,398533,REGENT STREET,COLLEGE CROFT,M,E0028369,NFR488,No,Yes,No,0,0,No,0,0
Exchange Quays,Exchange Quay,Eccles,9400ZZMAEXC,MANTMTWD,381356,396824,EXCHANGE QUAY,COLGATE LANE,M,N0075140,NFR480,No,Yes,No,0,0,No,0,0
Harbour City,Harbour City,Eccles,9400ZZMAHCY,MANTMTWJ,380761,397515,THE QUAYS,THE VICTORIA,M,N0076733,NFR483,No,Yes,No,0,0,No,0,0
